2017,2018,2019,2020,2021
0.004282655,0.016483516,0.051912568,0.013636364,0.002398082
0.019189765,0.021621622,0,-0.060538117,0.126794258
0.085774059,-0.047619048,0.067532468,-0.279236277,-0.06581741
-0.005780347,-0.105555556,0.063260341,-0.09602649,-0.079545455
0.122093023,-0.043478261,-0.061784897,0.080586081,0.051851852
0.053540587,-0.077922078,0.063414634,0.027118644,-0.075117371
-0.031147541,0.080985915,0.027522936,0.04290429,-0.058375635
0.023688663,0.035830619,-0.046875,0.110759494,-0.037017378
0.009917355,-0.009433962,-0.035128806,-0.133903134,0.077626767
0.021276596,0,0.02184466,0.105263158,0.103896104
0.028846154,0.149206349,-0.028503563,0.217261905,-0.037647059
0.133956386,0.011049724,0.075794621,0.019559902,0.004889976
