2017,2018,2019,2020,2021
0.031674208,-0.050505051,0.03125,-0.082802548,-0.101214575
0.096491228,0.034574468,-0.03030303,-0.024305556,0.072072072
0.036,-0.107969152,0.068181818,-0.456227758,-0.037815126
-0.015444015,-0.07204611,0.021276596,0.073298429,-0.004366812
0.02745098,0.052795031,-0.125,-0.065853659,-0.052631579
0.007633588,-0.168141593,0.095238095,0.195822454,-0.142592593
0.128787879,0.04964539,-0.078804348,0.004366812,0.032397408
-0.013422819,0.054054054,-0.091445428,0.108695652,0.129707113
0.006802721,-0.051282051,-0.045454545,-0.129411765,-0.00462963
0.027027027,-0.010135135,0.044217687,0.067567568,0.302325581
0.065789474,0.160409556,-0.022801303,0.265822785,-0.028571429
0.222222222,0.035294118,0.046666667,0.029166667,-0.007352941
